Nº,Project,MethodName,#Assrtions,#Conditions,#TryCatch,#Loop,#Throws,#Statements,#Tokens,#Hamcrest,#Mockito,#BadApi,#LOC,#Expressions,#Depth,#Vocabulary,#Understandability,#BodySize,#Dexterity,#NonWhiteCharacters
9378,commons-lang-LANG_3_8_1,HashCodeBuilderTest.testConstructorExZero,0,0,0,0,0,1,10,0,0,0,3,10,6,5,61,7,7,105
9379,commons-lang-LANG_3_8_1,StringUtilsTest.testReplaceOnceIgnoreCase_StringStringString,14,0,0,0,0,14,218,0,0,0,43,125,6,6,854,137,6,1020
9380,commons-lang-LANG_3_8_1,StringEscapeUtilsTest.testEscapeXml,14,0,2,0,1,18,237,0,0,0,61,131,8,16,983,164,12,1368
9381,commons-lang-LANG_3_8_1,FieldUtilsTest.testWriteStaticField,8,0,7,0,1,17,284,0,0,0,101,141,8,14,1315,221,11,1522
9382,commons-lang-LANG_3_8_1,CharRangeTest.testConstructorAccessors_isNot,4,0,0,0,0,5,55,0,0,0,16,32,6,11,190,38,8,229
9383,commons-lang-LANG_3_8_1,StringEscapeUtilsTest.testEscapeHtmlHighUnicode,2,0,0,0,0,6,91,0,0,0,19,45,8,13,405,71,10,494
9384,commons-lang-LANG_3_8_1,StringUtilsTest.testDefaultIfBlank_CharBuffers,5,0,0,0,0,6,137,0,0,0,19,80,8,10,546,87,8,553
9385,commons-lang-LANG_3_8_1,MutableByteTest.testToByte,2,0,0,0,0,2,54,0,0,0,7,29,8,7,212,35,6,171
9386,commons-lang-LANG_3_8_1,DateUtilsTest.testToCalendarWithDateNull,0,0,0,0,0,1,11,0,0,0,3,11,6,7,63,7,6,114
9387,commons-lang-LANG_3_8_1,ArrayUtilsTest.testToPrimitive_boolean,4,0,1,0,0,5,113,0,0,1,23,62,10,17,584,90,10,421
9388,commons-lang-LANG_3_8_1,StrBuilderAppendInsertTest.testAppendWithNullText,9,0,0,0,0,19,185,0,0,0,58,104,7,13,747,129,8,669
9389,commons-lang-LANG_3_8_1,StringEscapeUtilsTest.testEscapeHtml,2,0,1,1,0,1,111,0,0,0,32,57,10,19,646,93,13,449
9390,commons-lang-LANG_3_8_1,StandardToStringStyleTest.testAppendSuper,5,0,0,0,0,5,133,0,0,0,16,80,10,9,565,88,6,593
9391,commons-lang-LANG_3_8_1,FieldUtilsTest.testGetFieldForceAccess,15,0,0,0,0,15,354,0,0,0,46,194,9,11,1533,233,6,1703
9392,commons-lang-LANG_3_8_1,ValidateTest.testValidIndex_withMessage_charSequence,5,0,2,0,0,8,135,0,0,0,45,68,9,15,590,101,9,591
9393,commons-lang-LANG_3_8_1,MutableShortTest.testAddValuePrimitive,1,0,0,0,0,3,39,0,0,0,10,21,7,7,150,29,8,154
9394,commons-lang-LANG_3_8_1,SystemUtilsTest.testGetHostName,1,0,0,0,0,3,41,0,0,0,10,26,7,11,178,33,8,214
9395,commons-lang-LANG_3_8_1,ArrayUtilsTest.testReverseLongRange,13,0,0,0,0,23,251,0,0,0,70,144,7,8,1128,181,12,634
9396,commons-lang-LANG_3_8_1,ToStringStyleConcurrencyTest.testCopyOnWriteArrayList,0,0,0,0,2,1,24,0,0,0,3,15,9,9,153,20,7,181
9397,commons-lang-LANG_3_8_1,StringUtilsEqualsIndexOfTest.testIndexOfAny_StringCharArrayWithSupplementaryChars,4,0,0,0,0,4,79,0,0,0,13,48,7,8,301,50,7,482
9398,commons-lang-LANG_3_8_1,StrMatcherTest.testTabMatcher,4,0,0,0,0,5,65,0,0,0,16,38,6,9,234,44,8,253
9399,commons-lang-LANG_3_8_1,FastDateParserTest.testParses,0,0,0,4,1,1,172,0,0,0,38,84,15,29,1441,130,13,595
9400,commons-lang-LANG_3_8_1,StringUtilsTest.testLeftPad_StringInt,4,0,0,0,0,4,56,0,0,0,13,34,6,6,201,36,6,221
9401,commons-lang-LANG_3_8_1,ArrayUtilsTest.testNullToEmptyStringNull,1,0,0,0,1,1,21,0,0,0,3,15,9,8,110,16,6,147
9402,commons-lang-LANG_3_8_1,ReflectionToStringBuilderExcludeTest.test_toStringExcludeCollectionWithNulls,0,0,0,0,0,5,53,0,0,0,16,28,8,12,213,42,10,282
9403,commons-lang-LANG_3_8_1,FractionTest.testAdd,30,0,6,0,0,74,931,0,0,0,271,563,10,22,6224,691,11,2700
9404,commons-lang-LANG_3_8_1,NumberUtilsTest.testMaxByte,5,0,0,0,0,5,130,0,0,0,16,70,9,5,583,88,6,406
9405,commons-lang-LANG_3_8_1,ArrayUtilsTest.testNullToEmptyObject,1,0,0,0,0,2,34,0,0,0,7,21,8,10,167,29,9,163
9406,commons-lang-LANG_3_8_1,ArrayUtilsTest.testCloneBoolean,3,0,0,0,0,5,65,0,0,2,16,32,8,10,271,51,8,249
9407,commons-lang-LANG_3_8_1,StringUtilsTrimStripTest.testTrim,9,0,0,0,0,9,124,0,0,0,28,80,7,10,486,87,6,474
9408,commons-lang-LANG_3_8_1,NoClassNameToStringStyleTest.testObject,12,0,0,0,0,14,345,0,0,0,43,184,11,15,1575,232,8,1169
9409,commons-lang-LANG_3_8_1,HashCodeBuilderAndEqualsBuilderTest.testFixture,0,0,0,0,0,4,150,0,0,0,13,74,7,7,610,93,6,620
9410,commons-lang-LANG_3_8_1,ClassUtilsTest.test_getPackageName_Class,17,0,0,0,0,18,293,0,0,0,55,137,9,12,1295,204,8,1169
9411,commons-lang-LANG_3_8_1,MethodUtilsTest.testGetAnnotationIllegalArgumentException3,0,0,0,0,0,1,15,0,0,0,3,13,6,6,80,9,6,149
9412,commons-lang-LANG_3_8_1,DateUtilsTest.testIsSameDay_DateNullNotNull,0,0,0,0,1,1,14,0,0,0,3,13,7,8,82,9,6,140
9413,commons-lang-LANG_3_8_1,MethodUtilsTest.testGetAnnotationIllegalArgumentException1,0,0,0,0,0,1,24,0,0,0,3,18,9,8,119,15,6,189
9414,commons-lang-LANG_3_8_1,FastDateParser_MoreOrLessTest.testInputHasPrecedingCharacters,3,0,0,0,0,6,74,0,0,0,19,41,7,16,290,56,8,354
9415,commons-lang-LANG_3_8_1,MethodUtilsTest.testGetAnnotationIllegalArgumentException2,0,0,0,0,0,1,17,0,0,0,3,14,7,7,91,11,6,160
9416,commons-lang-LANG_3_8_1,BackgroundInitializerTest.testIsStartedFalse,1,0,0,0,0,2,22,0,0,0,7,13,7,6,98,17,9,203
9417,commons-lang-LANG_3_8_1,StrBuilderTest.testChaining,9,0,0,0,0,10,117,0,0,0,31,67,7,14,422,79,8,358
9418,commons-lang-LANG_3_8_1,StringUtilsTest.testRotate_StringInt,11,0,0,0,0,11,158,0,0,0,34,94,7,6,596,103,6,630
9419,commons-lang-LANG_3_8_1,StrBuilderTest.testGetChars,9,0,0,0,0,19,205,0,0,3,58,112,8,16,981,156,11,545
9420,commons-lang-LANG_3_8_1,CompareToBuilderTest.testObjectArrayHiddenByObject,6,0,0,0,0,20,270,0,0,2,61,155,10,14,1362,220,13,872
9421,commons-lang-LANG_3_8_1,FieldUtilsTest.testWriteDeclaredNamedStaticFieldForceAccess,8,0,4,0,1,12,228,0,0,0,65,112,9,14,995,161,7,1332
9422,commons-lang-LANG_3_8_1,ToStringBuilderTest.testInheritedReflectionStatics,4,0,0,0,0,5,119,0,0,0,16,71,8,10,518,82,9,1075
9423,commons-lang-LANG_3_8_1,StringUtilsEqualsIndexOfTest.testIndexOfAnyBut_StringCharArray,12,0,0,0,0,12,198,0,0,0,37,113,8,5,785,132,6,748
9424,commons-lang-LANG_3_8_1,StringUtilsTest.testWrapIfMissing_StringChar,15,0,0,0,0,15,212,0,0,0,46,125,7,8,826,138,6,954
9425,commons-lang-LANG_3_8_1,CharSetTest.testContains_Char,27,0,0,0,0,33,339,0,0,0,100,200,6,18,1680,251,9,1153
9426,commons-lang-LANG_3_8_1,StrBuilderTest.testSize,2,0,0,0,0,4,40,0,0,0,13,23,7,7,143,29,8,132
9427,commons-lang-LANG_3_8_1,FieldUtilsTest.testWriteField,4,0,3,0,1,9,159,0,0,0,49,86,9,21,709,118,10,746
9428,commons-lang-LANG_3_8_1,StringUtilsTest.testReplaceChars_StringStringString,30,0,0,0,0,30,472,0,0,0,91,268,6,7,2072,296,6,1971
9429,commons-lang-LANG_3_8_1,ArchUtilsTest.testIs64BitJVM,6,0,0,0,0,18,177,0,0,0,55,117,7,19,784,135,9,826
9430,commons-lang-LANG_3_8_1,ArrayUtilsTest.testShiftRangeShort,10,0,0,0,0,13,150,0,0,0,40,85,7,6,589,104,8,388
9431,commons-lang-LANG_3_8_1,FastDateParserTest.testLang303,1,0,0,0,1,6,73,0,0,0,19,46,9,19,316,58,9,342
9432,commons-lang-LANG_3_8_1,EnumUtilsTest.test_generateBitVector_nullArray,0,0,0,0,0,1,18,0,0,0,3,14,8,7,105,14,6,147
9433,commons-lang-LANG_3_8_1,JsonToStringStyleTest.testArray,1,0,0,0,0,5,94,0,0,0,19,58,12,14,531,73,13,397
9434,commons-lang-LANG_3_8_1,FastDateParserTest.testParseNumerics,1,0,0,0,1,6,84,0,0,0,19,52,7,18,349,61,8,334
9435,commons-lang-LANG_3_8_1,StringUtilsEqualsIndexOfTest.testLastIndexOfAny_StringStringArray,18,0,0,0,0,18,335,0,0,0,55,195,9,9,1578,249,6,1236
9436,commons-lang-LANG_3_8_1,NumberUtilsTest.testConstructor,5,0,0,0,0,6,85,0,0,0,19,47,9,15,341,62,10,346
9437,commons-lang-LANG_3_8_1,StrBuilderTest.testLength,2,0,0,0,0,4,40,0,0,0,13,23,7,7,143,29,8,138
9438,commons-lang-LANG_3_8_1,ArrayUtilsTest.testShiftRangeNullChar,1,0,0,0,0,3,28,0,0,0,10,15,5,6,110,21,8,111
9439,commons-lang-LANG_3_8_1,ObjectUtilsTest.testMin,12,0,0,0,0,18,230,0,0,0,55,132,8,20,984,166,9,1097
9440,commons-lang-LANG_3_8_1,ArrayUtilsTest.testNullToEmptyInt,1,0,0,0,0,2,30,0,0,0,7,15,7,6,125,23,8,126
9441,commons-lang-LANG_3_8_1,MutablePairTest.testBasic,4,0,0,0,1,6,86,0,0,0,19,45,8,14,339,64,9,315
9442,commons-lang-LANG_3_8_1,FastDateParserSDFTest.testOriginal,0,0,0,0,1,1,7,0,0,0,3,7,5,5,39,5,6,64
9443,commons-lang-LANG_3_8_1,ArrayUtilsTest.testShiftByte,16,0,0,0,0,21,220,0,0,0,64,128,7,6,927,155,8,574
9444,commons-lang-LANG_3_8_1,ToStringStyleTest.testSetContentEnd,1,0,0,0,0,3,29,0,0,0,10,17,7,8,109,22,8,148
9445,commons-lang-LANG_3_8_1,TypeUtilsTest.testIsArrayTypeClasses,20,0,0,0,0,20,262,0,0,0,61,127,9,8,1147,185,6,1011
9446,commons-lang-LANG_3_8_1,ArrayUtilsTest.testToPrimitive_byte_byte,4,0,0,0,0,5,180,0,0,2,16,105,11,15,990,133,9,610
9447,commons-lang-LANG_3_8_1,StandardToStringStyleTest.testObjectArray,4,0,0,0,0,6,125,0,0,0,19,73,9,10,569,93,11,464
9448,commons-lang-LANG_3_8_1,DateUtilsTest.testLang530,1,0,0,0,1,4,68,0,0,0,13,45,8,17,310,53,8,384
9449,commons-lang-LANG_3_8_1,ValidateTest.testNotBlankMsgBlankStringWithWhitespacesShouldThrow,2,0,1,0,0,2,44,0,0,0,17,22,9,11,201,34,9,253
9450,commons-lang-LANG_3_8_1,DateUtilsRoundingTest.testTruncateAmPm,0,0,0,0,1,5,47,0,0,0,16,31,6,13,228,37,10,497
9451,commons-lang-LANG_3_8_1,JsonToStringStyleTest.testNull,1,0,0,0,0,1,17,0,0,0,3,11,8,5,68,11,6,84
9452,commons-lang-LANG_3_8_1,ImmutablePairTest.testNullPairKey,1,0,0,0,0,1,15,0,0,0,3,10,7,6,55,9,6,80
9453,commons-lang-LANG_3_8_1,DateUtilsTest.testLANG799,0,0,0,0,1,1,17,0,0,0,3,12,7,6,77,11,6,143
9454,commons-lang-LANG_3_8_1,FractionTest.testAbs,9,0,1,0,0,19,218,0,0,0,65,131,8,15,933,158,10,670
9455,commons-lang-LANG_3_8_1,CompareToBuilderTest.testByte,7,0,0,0,0,9,169,0,0,1,28,99,10,11,790,119,7,559
9456,commons-lang-LANG_3_8_1,LookupTranslatorTest.testLang882,2,0,0,0,1,5,82,0,0,0,16,43,11,13,387,63,8,365
9457,commons-lang-LANG_3_8_1,FieldUtilsTest.testGetDeclaredField,15,0,0,0,0,15,244,0,0,0,46,139,9,10,1053,171,6,1301
9458,commons-lang-LANG_3_8_1,StrTokenizerTest.testBasic1,4,0,0,0,0,6,60,0,0,0,19,34,7,10,221,45,8,210
9459,commons-lang-LANG_3_8_1,StrTokenizerTest.testBasic3,4,0,0,0,0,6,60,0,0,0,19,34,7,10,221,45,8,226
9460,commons-lang-LANG_3_8_1,StrTokenizerTest.testBasic2,4,0,0,0,0,6,60,0,0,0,19,34,7,10,221,45,8,214
9461,commons-lang-LANG_3_8_1,ClassUtilsTest.testHierarchyIncludingInterfaces,5,0,0,0,0,6,89,0,0,0,19,49,9,18,350,65,9,380
9462,commons-lang-LANG_3_8_1,StrTokenizerTest.testBasic5,4,0,0,0,0,6,64,0,0,0,19,36,7,10,236,47,8,223
9463,commons-lang-LANG_3_8_1,StrTokenizerTest.testBasic4,4,0,0,0,0,6,60,0,0,0,19,34,7,10,221,45,8,218
9464,commons-lang-LANG_3_8_1,ContextedRuntimeExceptionTest.testRawMessage,3,0,0,0,0,5,81,0,0,0,16,46,9,12,318,56,9,456
9465,commons-lang-LANG_3_8_1,NumberUtilsTest.testMinimumFloat,5,0,0,0,0,8,114,0,0,0,25,63,6,8,446,78,7,380
9466,commons-lang-LANG_3_8_1,ArrayUtilsTest.testToObject_int,3,0,0,0,0,4,100,0,0,1,13,58,10,15,507,74,8,391
9467,commons-lang-LANG_3_8_1,StrSubstitutorTest.testSamePrefixAndSuffix,2,0,0,0,0,6,81,0,0,0,19,44,8,10,314,56,9,332
9468,commons-lang-LANG_3_8_1,ClassUtilsTest.testWrapperToPrimitiveNoWrapper,1,0,0,0,0,1,16,0,0,0,3,11,8,6,68,11,6,138
9469,commons-lang-LANG_3_8_1,NumberUtilsTest.testCompareDouble,81,0,0,0,0,81,1442,0,0,81,244,1038,9,9,9908,1117,6,4743
9470,commons-lang-LANG_3_8_1,EqualsBuilderTest.testByte,2,0,0,0,0,4,52,0,0,0,13,27,9,9,209,37,7,168
9471,commons-lang-LANG_3_8_1,ClassPathUtilsTest.testToFullyQualifiedPathClass,1,0,0,0,1,3,30,0,0,0,10,19,8,9,141,26,8,250
9472,commons-lang-LANG_3_8_1,SystemUtilsTest.testOsVersionMatches,22,0,0,0,1,29,295,0,0,0,88,179,6,9,1417,207,10,1515
9473,commons-lang-LANG_3_8_1,AbstractConcurrentInitializerTest.testGet,1,0,0,0,1,1,15,0,0,0,3,22,7,11,149,9,7,253
9474,commons-lang-LANG_3_8_1,ContextedExceptionTest.testContextedException,2,0,0,0,0,5,50,0,0,0,16,30,7,14,199,40,10,285
9475,commons-lang-LANG_3_8_1,BitFieldTest.testGetValue,6,0,0,0,0,6,77,0,0,0,19,48,7,7,289,52,7,287
9476,commons-lang-LANG_3_8_1,ArrayUtilsTest.testShiftRangeNullObject,1,0,0,0,0,3,28,0,0,0,10,16,6,7,115,22,9,115
9477,commons-lang-LANG_3_8_1,StringUtilsEqualsIndexOfTest.testEqualsIgnoreCase,9,0,0,0,0,9,138,0,0,0,28,78,9,9,571,93,6,561
9478,commons-lang-LANG_3_8_1,WordUtilsTest.testCapitalizeFully_String,9,0,0,0,0,9,108,0,0,0,28,65,6,6,389,72,6,549
9479,commons-lang-LANG_3_8_1,HashCodeBuilderAndEqualsBuilderTest.testFixtureWithTransients,0,0,0,0,0,1,7,0,0,0,3,6,5,3,31,5,6,62
9480,commons-lang-LANG_3_8_1,MethodUtilsTest.testGetAnnotationNotSearchSupersAndNotIgnoreAccess,5,0,0,0,1,5,127,0,0,0,16,74,9,11,575,86,6,703
9481,commons-lang-LANG_3_8_1,CompareToBuilderTest.testBooleanArrayHiddenByObject,6,0,0,0,0,20,238,0,0,2,61,133,10,13,1190,190,13,762
9482,commons-lang-LANG_3_8_1,EqualsBuilderTest.testMultiBooleanArray,7,0,0,2,0,12,266,0,0,0,49,141,11,13,1270,195,16,754
9483,commons-lang-LANG_3_8_1,MutableByteTest.testCompareToNull,0,0,0,0,0,2,22,0,0,0,7,16,7,7,114,18,8,143
9484,commons-lang-LANG_3_8_1,RegExUtilsTest.testRemovePattern_StringString,10,0,0,0,0,10,143,0,0,0,31,84,8,7,536,93,6,656
9485,commons-lang-LANG_3_8_1,ConversionTest.testIntToHexDigitMsb0,17,0,1,0,0,17,227,0,0,0,59,132,11,9,964,154,8,1042
9486,commons-lang-LANG_3_8_1,ArrayUtilsTest.testIsSortedNullComparator,0,0,0,0,1,1,11,0,0,0,3,12,6,7,71,7,6,132
9487,commons-lang-LANG_3_8_1,CharUtilsTest.testToString_Character,3,0,0,0,0,3,41,0,0,0,10,26,6,8,146,27,6,204
9488,commons-lang-LANG_3_8_1,FastDatePrinterTest.testFormat,21,0,0,0,0,34,417,0,0,0,103,246,7,24,2055,301,10,1720
9489,commons-lang-LANG_3_8_1,ClassUtilsTest.test_isAssignable_Unboxing_Widening,64,0,0,0,1,64,1282,0,0,0,193,772,8,16,7225,897,6,5306
9490,commons-lang-LANG_3_8_1,ExceptionUtilsTest.testGetThrowableList_Throwable_null,1,0,0,0,0,2,27,0,0,0,7,15,6,8,104,20,9,149
9491,commons-lang-LANG_3_8_1,RandomStringUtilsTest.testLANG807,3,0,1,0,0,1,75,0,0,0,20,41,9,12,400,54,7,329
9492,commons-lang-LANG_3_8_1,ConcurrentUtilsTest.testInitialize,2,0,0,0,1,6,75,0,1,0,19,55,8,23,389,57,10,497
9493,commons-lang-LANG_3_8_1,BooleanUtilsTest.test_toBooleanObject_String_String_String_String_nullValue,0,0,0,0,0,1,15,0,0,0,3,13,6,6,80,9,6,165
9494,commons-lang-LANG_3_8_1,ImmutableTripleTest.testNullTripleEquals,1,0,0,0,0,1,17,0,0,0,3,11,6,5,59,10,6,111
9495,commons-lang-LANG_3_8_1,ArrayUtilsTest.testIndexOfDoubleWithStartIndexTolerance,10,0,0,0,0,13,241,0,0,0,40,133,7,7,1017,158,11,744
9496,commons-lang-LANG_3_8_1,ArrayUtilsTest.testShiftAllDouble,8,0,0,0,0,11,137,0,0,0,34,77,7,6,521,94,8,346
9497,commons-lang-LANG_3_8_1,ArrayUtilsTest.testNullToEmptyClassNull,1,0,0,0,1,1,24,0,0,0,3,15,10,8,128,18,6,147
9498,commons-lang-LANG_3_8_1,EqualsBuilderTest.testDoubleArrayHiddenByObject,5,0,0,0,0,14,168,0,0,0,43,90,9,12,749,129,12,525
9499,commons-lang-LANG_3_8_1,SerializationUtilsTest.testDeserializeBytesBadStream,0,0,0,0,1,1,13,0,0,0,3,12,7,7,88,10,6,145
9500,commons-lang-LANG_3_8_1,StrTokenizerTest.testCSVSimpleNeedsTrim,0,0,0,0,0,3,31,0,0,0,10,22,6,4,120,23,7,164
9501,commons-lang-LANG_3_8_1,StringUtilsContainsTest.testContainsIgnoreCase_StringString,22,0,0,0,0,22,266,0,0,0,67,157,6,6,1128,177,6,1239
9502,commons-lang-LANG_3_8_1,ArrayUtilsTest.testArrayCreationWithDifferentTypes,3,0,0,0,0,4,73,0,0,0,13,45,8,13,311,53,10,326
9503,commons-lang-LANG_3_8_1,SerializationUtilsTest.testRoundtrip,1,0,0,0,0,2,25,0,0,0,7,15,6,9,109,21,9,127
9504,commons-lang-LANG_3_8_1,StrBuilderTest.testGetCharsIntIntCharArrayInt,6,0,4,0,0,12,233,0,0,2,65,108,8,13,1058,170,12,637
9505,commons-lang-LANG_3_8_1,StringUtilsTest.testRepeat_CharInt,3,0,0,0,0,3,45,0,0,0,10,28,7,5,164,29,6,170
9506,commons-lang-LANG_3_8_1,FastDateFormatTest.testLANG_954,0,0,0,0,0,2,15,0,0,0,7,10,5,6,76,13,9,200
9507,commons-lang-LANG_3_8_1,CompareToBuilderTest.testMultiFloatArray,6,0,0,2,0,13,308,0,0,2,55,175,12,12,1615,232,16,781
9508,commons-lang-LANG_3_8_1,ExceptionUtilsTest.testGetThrowableList_Throwable_withoutCause,2,0,0,0,0,3,39,0,0,0,10,22,6,11,144,28,9,208
9509,commons-lang-LANG_3_8_1,CharSetUtilsTest.testDelete_StringString,10,0,0,0,0,10,147,0,0,0,31,87,8,7,570,98,6,562
9510,commons-lang-LANG_3_8_1,StringUtilsStartsEndsWithTest.testStartsWithIgnoreCase,14,0,0,0,0,14,198,0,0,0,43,115,6,12,763,127,7,1383
9511,commons-lang-LANG_3_8_1,ReflectionToStringBuilderExcludeNullValuesTest.test_NonExclude,8,0,0,0,0,12,159,0,0,0,37,95,6,13,675,107,9,775
9512,commons-lang-LANG_3_8_1,ArrayUtilsTest.testNullToEmptyCharObjectEmptyArray,2,0,0,0,1,4,44,0,0,0,13,25,8,11,205,39,9,255
9513,commons-lang-LANG_3_8_1,CharRangeTest.testContains_Char,18,0,0,0,0,22,230,0,0,0,67,141,7,12,1010,164,9,767
9514,commons-lang-LANG_3_8_1,UnicodeEscaperTest.testBetween,1,0,0,0,0,4,41,0,0,0,13,24,6,10,175,35,8,241
9515,commons-lang-LANG_3_8_1,FastDatePrinterTest.testLang538,2,0,0,0,0,6,90,0,0,0,19,52,7,15,356,63,8,409
9516,commons-lang-LANG_3_8_1,RandomStringUtilsTest.testRandomNumericRange,4,2,0,1,0,8,173,3,0,0,50,95,10,20,796,129,13,925
9517,commons-lang-LANG_3_8_1,ClassPathUtilsTest.testToFullyQualifiedPathPackageNull,0,0,0,0,1,1,17,0,0,0,3,15,8,8,95,11,6,182
9518,commons-lang-LANG_3_8_1,DateUtilsFragmentTest.testMillisecondsOfYearWithCalendar,1,0,0,0,0,2,67,0,0,0,7,48,12,19,370,51,7,343
9519,commons-lang-LANG_3_8_1,CompareToBuilderTest.testCharArrayHiddenByObject,6,0,0,0,0,20,238,0,0,2,61,133,10,13,1190,190,12,714
9520,commons-lang-LANG_3_8_1,MutableDoubleTest.testGetAndAddValuePrimitive,2,0,0,0,0,4,45,0,0,0,13,25,7,8,173,34,8,232
9521,commons-lang-LANG_3_8_1,StringUtilsTest.testRemoveIgnoreCase_String,16,0,0,0,0,16,216,0,0,0,49,126,6,6,843,140,6,943
9522,commons-lang-LANG_3_8_1,StrSubstitutorTest.testConstructorNoArgs,1,0,0,0,0,2,23,0,0,0,7,14,7,6,105,18,9,157
9523,commons-lang-LANG_3_8_1,NumberUtilsTest.testMaximumLong,5,0,0,0,0,5,106,0,0,0,16,67,7,5,428,70,6,515
9524,commons-lang-LANG_3_8_1,ArrayUtilsTest.testIndexOfDouble,8,0,0,0,0,11,177,0,0,0,34,98,7,7,728,122,11,551
9525,commons-lang-LANG_3_8_1,CircuitBreakingExceptionTest.testWithoutMessage,4,0,0,0,1,6,56,0,0,0,19,33,7,14,219,43,8,313
9526,commons-lang-LANG_3_8_1,ArrayUtilsTest.testIsSorted,4,0,0,0,0,8,87,0,0,0,25,52,8,8,388,71,12,282
9527,commons-lang-LANG_3_8_1,ReflectionToStringBuilderExcludeTest.test_toStringExcludeArrayWithNulls,0,0,0,0,0,2,27,0,0,0,7,16,8,8,113,20,9,185
9528,commons-lang-LANG_3_8_1,StringUtilsTest.testJoin_ArrayOfInts,6,0,0,0,0,6,112,0,0,0,19,63,8,9,450,73,6,448
9529,commons-lang-LANG_3_8_1,AnnotationUtilsTest.testNonEquivalentAnnotationsOfSameType,2,0,0,0,0,2,54,0,0,2,7,33,9,9,242,37,6,303
9530,commons-lang-LANG_3_8_1,StopWatchTest.testStopWatchGetWithTimeUnit,4,0,0,0,0,5,101,0,0,0,16,68,9,13,463,74,8,418
9531,commons-lang-LANG_3_8_1,StrSubstitutorTest.testConstructorMapFull,2,0,0,0,0,6,82,0,0,0,19,45,8,11,345,61,12,345
9532,commons-lang-LANG_3_8_1,RandomStringUtilsTest.testLANG805,1,0,0,0,0,2,46,0,0,0,7,24,8,9,208,31,7,166
9533,commons-lang-LANG_3_8_1,StringUtilsTest.testSplitByCharacterType,9,0,0,0,0,9,225,0,0,0,28,128,9,11,1039,156,6,906
9534,commons-lang-LANG_3_8_1,ArrayUtilsRemoveTest.testRemoveAllFloatOccurences,6,0,0,0,0,12,210,0,0,5,37,115,8,10,944,150,11,645
9535,commons-lang-LANG_3_8_1,DateFormatUtilsTest.testFormat,4,0,0,0,0,16,242,0,0,0,49,136,8,31,1006,169,8,801
9536,commons-lang-LANG_3_8_1,RecursiveToStringStyleTest.testObject,12,0,0,0,0,15,387,0,0,0,46,219,11,20,1793,271,9,1379
9537,commons-lang-LANG_3_8_1,DateUtilsTest.testSetSeconds,3,0,1,0,1,9,140,0,0,0,35,76,7,13,601,92,10,504
9538,commons-lang-LANG_3_8_1,ToStringBuilderTest.testAppendBooleanArrayWithFieldNameAndFullDetatil,5,0,0,0,0,6,160,0,0,0,19,86,9,9,698,109,8,652
9539,commons-lang-LANG_3_8_1,ArrayUtilsRemoveMultipleTest.testRemoveAllNullObjectArray,0,0,0,0,0,1,16,0,0,0,3,13,8,7,94,12,6,125
9540,commons-lang-LANG_3_8_1,CompareToBuilderTest.testShortArray,9,0,0,0,0,20,288,0,0,3,61,161,10,9,1412,215,11,833
9541,commons-lang-LANG_3_8_1,ClassUtilsTest.testShowJavaBug,1,0,1,0,1,3,59,0,0,0,17,28,9,16,257,46,10,293
9542,commons-lang-LANG_3_8_1,PairTest.testMapEntry,2,0,0,0,1,6,90,0,0,0,19,47,8,19,371,70,9,303
9543,commons-lang-LANG_3_8_1,ValidateTest.testNotNull1,3,0,1,0,0,5,70,0,0,0,26,39,9,15,308,55,9,332
9544,commons-lang-LANG_3_8_1,ToStringBuilderTest.testFloatArray,4,0,0,0,0,6,120,0,0,0,19,70,9,10,524,87,10,483
9545,commons-lang-LANG_3_8_1,SerializationUtilsTest.testPrimitiveTypeClassSerialization,1,0,0,1,0,2,83,0,0,0,15,28,8,8,358,57,12,332
9546,commons-lang-LANG_3_8_1,BooleanUtilsTest.test_toBoolean_String_String_String,9,0,0,0,0,9,155,0,0,0,28,89,8,7,634,103,6,570
9547,commons-lang-LANG_3_8_1,HashCodeBuilderTest.testDouble,2,0,0,0,0,4,78,0,0,0,13,49,10,11,357,57,7,270
9548,commons-lang-LANG_3_8_1,ConversionTest.testShortArrayToLong,7,0,0,0,0,8,179,0,0,0,25,95,8,6,873,112,9,794
9549,commons-lang-LANG_3_8_1,MutableFloatTest.testIncrement,2,0,0,0,0,4,40,0,0,0,13,23,7,8,143,29,8,164
9550,commons-lang-LANG_3_8_1,EventUtilsTest.testBindFilteredEventsToMethod,3,0,0,0,0,8,142,0,0,0,25,78,8,19,559,97,9,560
9551,commons-lang-LANG_3_8_1,BackgroundInitializerTest.testIsStartedAfterGet,1,0,0,0,0,4,33,0,0,0,13,19,7,8,131,25,9,247
9552,commons-lang-LANG_3_8_1,ValidateTest.testNotNull2,3,0,1,0,0,5,76,0,0,0,26,42,9,15,332,58,9,333
9553,commons-lang-LANG_3_8_1,ArrayUtilsTest.testShuffleDouble,2,0,0,1,0,5,100,0,0,1,20,48,8,15,439,70,10,329
9554,commons-lang-LANG_3_8_1,JsonToStringStyleTest.testLong,3,0,1,0,0,3,84,0,0,0,17,44,10,10,362,56,9,357
9555,commons-lang-LANG_3_8_1,MutableShortTest.testEquals,10,0,0,0,0,13,149,0,0,10,40,85,8,11,622,112,8,556
9556,commons-lang-LANG_3_8_1,StrSubstitutorTest.testReplaceIncompletePrefix,0,0,0,0,0,1,11,0,0,0,3,8,5,3,55,7,7,170
